time,x,y,z,speed,wheels,target,throttle,brake,steer
0.01999664,990.0066,164.5691,115.0019,0.3398478,4,1,1,0,-3.127774E-07
0.04000092,990.0198,164.5674,115.0057,0.677605,4,2,1,0,-0.0101222
0.05999756,990.0394,164.5651,115.0115,1.013345,4,3,1,0,-0.01871691
0.0799942,990.0656,164.5623,115.0191,1.347113,4,4,1,0,-0.02586946
0.09999847,990.0981,164.5593,115.0287,1.678939,4,5,1,0,-0.03179141
0.1199951,990.1368,164.556,115.0401,2.008837,4,6,1,0,-0.03659379
0.1399994,990.1819,164.5526,115.0535,2.336814,4,6,1,0,-0.0356562
0.159996,990.2333,164.5491,115.0687,2.662871,4,6,1,0,-0.03462587
0.1800003,990.2907,164.5457,115.0859,2.987007,4,6,1,0,-0.03350923
0.1999969,990.3543,164.5423,115.105,3.309223,4,6,1,0,-0.03231345
0.2200012,990.4241,164.5391,115.1259,3.629516,4,6,1,0,-0.03107625
0.2399979,990.4999,164.5359,115.1487,3.947883,4,6,1,0,-0.02982049
0.2599945,990.5816,164.5329,115.1734,4.264323,4,6,1,0,-0.0285517
0.2799988,990.6694,164.5301,115.2,4.578833,4,7,1,0,-0.03196301
0.2999954,990.7632,164.5273,115.2284,4.891412,4,7,1,0,-0.03065638
0.3199997,990.8628,164.5247,115.2588,5.20206,4,7,1,0,-0.02933248
0.3399963,990.9683,164.5222,115.291,5.510779,4,7,1,0,-0.02799671
0.3600006,991.0796,164.5199,115.3251,5.817573,4,7,1,0,-0.02667959
0.3799973,991.1957,164.5175,115.3607,6.069967,4,7,0.8276992,0,-0.02537901
0.4000015,991.3156,164.5153,115.3976,6.267508,4,7,0.6510232,0,-0.0241116
0.4199982,991.4384,164.5132,115.4355,6.422501,4,7,0.5127444,0,-0.02288396
0.4399948,991.5635,164.5111,115.4742,6.544346,4,7,0.4042492,0,-0.02169919
0.4599991,991.6904,164.5091,115.5135,6.640278,4,7,0.3189579,0,-0.02057203
0.4799957,991.8187,164.5072,115.5534,6.715899,4,8,0.2518055,0,-0.02288385
0.5,991.9481,164.5053,115.5938,6.775568,4,8,0.1988704,0,-0.02176472
0.5199966,992.0784,164.5034,115.6345,6.822689,4,8,0.1571027,0,-0.02066005
0.5400009,992.2093,164.5015,115.6755,6.859922,4,8,0.124118,0,-0.01958725
0.5599976,992.3408,164.4996,115.7168,6.889361,4,8,0.09805431,0,-0.01855748
0.5799942,992.4727,164.4977,115.7584,6.912647,4,8,0.07744703,0,-0.0175856
0.5999985,992.6049,164.4958,115.8001,6.931077,4,8,0.06114693,0,-0.01666439
0.6199951,992.7361,164.4939,115.8417,6.883314,4,8,0.04824576,0,-0.0158048
0.6399994,992.8678,164.4919,115.8835,6.907923,4,8,0.08168044,0,-0.01499231
0.659996,992.9999,164.4899,115.9255,6.927391,4,9,0.06445408,0,-0.01619651
0.6800003,993.1321,164.4879,115.9677,6.942803,4,9,0.05082626,0,-0.01537932
0.6999969,993.2635,164.4858,116.0097,6.892546,4,9,0.04003796,0,-0.01458046
0.7200012,993.3953,164.4837,116.0519,6.915281,4,9,0.07521801,0,-0.01381747
0.7399979,993.5273,164.4815,116.0943,6.933272,4,9,0.05930309,0,-0.01310044
0.7599945,993.6584,164.4793,116.1364,6.885143,4,9,0.04670935,0,-0.01240787
0.7799988,993.7899,164.477,116.1788,6.90948,4,9,0.0803997,0,-0.01175629
0.7999954,993.9218,164.4747,116.2214,6.928739,4,9,0.06336427,0,-0.01114276
0.8199997,994.0527,164.4723,116.2638,6.881654,4,9,0.04988265,0,-0.01057359
0.8399963,994.1841,164.4699,116.3064,6.906783,4,10,0.08284201,0,-0.01069995
0.8600006,994.3159,164.4675,116.3492,6.926672,4,10,0.06525183,0,-0.01009868
0.8799973,994.448,164.465,116.3922,6.94242,4,10,0.05132994,0,-0.009526965
0.8999939,994.5791,164.4625,116.4349,6.892442,4,10,0.04030566,0,-0.008987135
0.9199982,994.7106,164.46,116.4778,6.915405,4,10,0.07529078,0,-0.008469435
0.9399948,994.8425,164.4574,116.5209,6.933586,4,10,0.05921631,0,-0.007978453
0.9599991,994.9734,164.4549,116.5637,6.885612,4,10,0.04648972,0,-0.007519579
0.9799957,995.1047,164.4523,116.6068,6.910085,4,10,0.08007159,0,-0.007090588
1,995.2364,164.4496,116.65,6.929457,4,10,0.06294069,0,-0.006677035
1.019997,995.3672,164.447,116.693,6.882461,4,10,0.04937997,0,-0.006298983
1.040001,995.4985,164.4444,116.7361,6.907669,4,11,0.08227758,0,-0.005562068
1.059998,995.6302,164.4411,116.7796,6.92764,4,11,0.06463165,0,-0.005162479
1.079994,995.7622,164.4374,116.8233,6.943579,4,11,0.05065169,0,-0.005110402
1.099998,995.8934,164.4333,116.8669,6.893992,4,11,0.03949456,0,-0.005356638
1.119995,996.0251,164.4287,116.9109,6.917539,4,11,0.07420564,0,-0.006001606
1.139999,996.1572,164.4236,116.9551,6.936593,4,11,0.05772295,0,-0.00703872
1.159996,996.2886,164.4174,116.9992,6.889929,4,11,0.04438519,0,-0.008452938
1.18,996.4206,164.4102,117.0436,6.916214,4,11,0.07704949,0,-0.00986506
1.199997,996.5531,164.4019,117.0882,6.937962,4,11,0.05865054,0,-0.01130333
1.220001,996.6849,164.3923,117.1328,6.893975,3,11,0.04342689,0,-0.01289449
1.239998,996.8173,164.3814,117.1777,6.922962,3,12,0.07421732,0,-0.01176499
1.259995,996.9501,164.3692,117.2228,6.947327,3,12,0.0539268,0,-0.01320527
1.279999,997.0822,164.3557,117.2678,6.905587,3,12,0.03687134,0,-0.01470257
1.299995,997.2146,164.3405,117.3131,6.936727,3,12,0.06608929,0,-0.01619932
