time,x,y,z,speed,wheels,target,throttle,brake,steer
0.01999664,989.9997,110.9397,-160.0867,0.3242171,2,1,1,0,0
0.0399971,989.9994,110.9558,-160.131,0.6935778,2,2,1,0,0.001849443
0.05999756,989.9996,110.948,-160.1567,1.076818,2,3,1,0,0.0001007407
0.07999802,989.9996,110.9339,-160.1885,1.464893,2,4,1,0,-0.0005713363
0.09999847,989.9996,110.9149,-160.2275,1.858079,2,5,1,0,-0.0005322509
0.1199989,989.9996,110.8909,-160.2735,2.256471,2,6,1,0,-0.0005043671
0.1399994,989.9996,110.8618,-160.3265,2.659881,2,7,1,0,-0.0004821293
0.1599998,989.9996,110.8278,-160.3863,3.067907,2,8,1,0,-0.0004627216
0.1799965,989.9996,110.7886,-160.4529,3.479997,2,9,1,0,-0.0004445908
0.1999969,989.9997,110.7444,-160.5261,3.89557,2,10,1,0,-0.0004268354
0.2199974,989.9997,110.6952,-160.6059,4.313828,2,11,1,0,-0.0003874413
0.2399979,989.9997,110.644,-160.6928,4.729205,4,12,1,0,-0.0003709262
0.2599983,989.9997,110.5908,-160.7866,5.141817,4,12,1,0,-0.0003604753
0.2799988,989.9997,110.5353,-160.8875,5.551855,4,12,1,0,-0.0003488737
0.2999992,989.9997,110.4774,-160.9956,5.95951,4,12,1,0,-0.0003361894
0.3199997,989.9997,110.4178,-161.1091,6.276749,4,12,0.7283431,0,-0.0003225328
0.3400002,989.9997,110.357,-161.2268,6.521198,4,13,0.5062756,0,-0.0002995299
0.3599968,989.9997,110.2952,-161.3477,6.710262,4,13,0.3351615,0,-0.0002839593
0.3799973,989.9997,110.2327,-161.4712,6.856926,4,13,0.2028167,0,-0.000268053
0.3999977,989.9997,110.1698,-161.5966,6.970969,4,13,0.1001518,0,-0.0002520491
0.4199982,989.9997,110.107,-161.7223,6.997093,4,14,0.02032189,0,-0.000227213
0.4399986,989.9997,110.0446,-161.8484,7.017399,4,14,0.002035093,0,-0.0002112653
0.4599991,989.9997,109.9823,-161.9748,7.037035,4,14,0,0,-0.0001959438
0.4799995,989.9997,109.9203,-162.1016,7.056574,4,14,0,0,-0.0001813949
0.5,989.9997,109.8585,-162.2288,7.075941,4,15,0,0,-0.0001583679
0.5199966,989.9997,109.7969,-162.3564,7.095068,4,15,0,0,-0.000145271
0.5399971,989.9997,109.7355,-162.4845,7.113908,4,15,0,0,-0.0001332631
0.5599976,989.9997,109.6743,-162.613,7.132425,4,15,0,0,-0.0001223349
0.579998,989.9997,109.6133,-162.742,7.150586,4,16,0,0,-0.0001028209
0.5999985,989.9997,109.5525,-162.8714,7.168369,4,16,0,0,-9.362293E-05
0.6199989,989.9997,109.492,-163.0014,7.185761,4,16,0,0,-8.551848E-05
0.6399994,989.9997,109.4316,-163.1317,7.202761,4,17,0,0,-6.9064E-05
0.6599998,989.9997,109.3714,-163.2626,7.219365,4,17,0,0,-6.26079E-05
0.6799965,989.9997,109.3113,-163.3938,7.235576,4,17,0,0,-5.713782E-05
0.6999969,989.9997,109.2513,-163.5255,7.251396,4,17,0,0,-5.255848E-05
0.7199974,989.9997,109.1915,-163.6576,7.266846,4,18,0,0,-3.924385E-05
0.7399979,989.9997,109.1317,-163.79,7.281923,4,18,0,0,-3.588062E-05
0.7599983,989.9997,109.072,-163.9228,7.296646,4,18,0,0,-3.328174E-05
0.7799988,989.9997,109.0123,-164.056,7.311028,4,18,0,0,-3.135604E-05
0.7999992,989.9997,108.9526,-164.1895,7.32508,4,19,0,0,-2.033185E-05
0.8199997,989.9997,108.8929,-164.3233,7.338816,4,19,0,0,-1.919835E-05
0.8399963,989.9997,108.8332,-164.4574,7.35225,4,19,0,0,-1.863042E-05
0.8599968,989.9997,108.7734,-164.5918,7.365393,4,19,0,0,-1.854925E-05
0.8799973,989.9997,108.7136,-164.7265,7.378253,4,20,0,0,-9.056385E-06
