time,x,y,z,speed,wheels,up,throttle,brake,nextGate,lap,recoveries,groundBelow,targetSpeed,obstacle
0.008203983,740.808,79.85821,-18.32022,0.3591984,4,0.9999985,1,0,0,0,0,79.40765,14.92637,
0.1282039,740.9237,79.88813,-18.4788,2.476108,4,0.9998663,1,0,0,0,0,79.39396,14.92637,
0.2482038,741.1833,79.89352,-18.84032,4.53234,4,0.9996183,1,0,0,0,0,79.37408,14.33547,
0.3682036,741.5715,79.87204,-19.40502,6.519981,4,0.9994283,1,0,0,0,0,79.35674,15.24372,
0.4682038,741.9752,79.83716,-20.03524,8.118833,4,0.9993685,1,0,0,0,0,79.32315,15.24372,
0.5882037,742.5244,79.79212,-20.99234,9.956675,4,0.9994117,1,0,0,0,0,79.29753,15.89805,
0.7082036,743.0969,79.74699,-22.17968,11.69668,4,0.9994929,1,0,0,0,0,79.25507,16.64547,
0.8082037,743.546,79.7099,-23.35102,13.06502,4,0.9995338,1,0,0,0,0,79.21668,15.40215,
0.9282036,743.9603,79.66862,-24.85157,13.24038,4,0.9995871,1,0,0,0,0,79.17545,14.94215,
1.048203,744.2041,79.62883,-26.49769,14.10203,4,0.9996383,0.8206139,0,0,0,0,79.1353,14.92637,
1.168203,744.2384,79.59042,-28.22472,14.56815,4,0.9996786,0.6631973,0,0,0,0,79.0966,15.24372,
1.288203,744.037,79.55285,-30.01776,15.3236,4,0.9997351,0.5555527,0,0,0,0,79.06,15.89805,
1.388204,743.6701,79.52254,-31.56966,16.36124,4,0.9997911,1,0,0,0,0,79.0299,17.77089,
1.508204,742.9615,79.48853,-33.51027,17.72792,4,0.9998565,1,0,0,0,0,79.00195,20.86059,
1.628203,741.9488,79.46067,-35.4934,19.06656,4,0.9999151,1,0,0,0,0,78.97953,20.8818,
1.748203,740.6478,79.44511,-37.48867,20.28994,4,0.9999665,0.835936,0,0,0,0,78.97337,21.16524,
1.868203,739.1165,79.44501,-39.3973,20.1145,4,0.9999936,0,0,0,0,0,78.97458,20.31757,
1.988203,737.5198,79.45744,-41.0048,17.72629,4,0.9999999,0,0.6069443,0,0,0,78.98145,15.65516,
2.108203,735.9473,79.47572,-42.28801,16.44059,4,0.9999959,0,0.2241058,0,0,0,78.99073,15.68342,
2.208203,734.6249,79.49106,-43.20272,15.76126,4,0.9999905,0,0,0,0,0,78.99973,15.79795,
2.328203,732.9862,79.50987,-44.20617,16.42873,4,0.9999737,1,0,0,0,0,79.03225,18.93264,EMBER@7.5
2.448203,731.2282,79.53542,-45.20799,16.62998,4,0.9999495,0,0.2893975,0,0,0,79.04683,15.63719,
2.568203,729.5413,79.56242,-46.17236,15.85664,4,0.9999447,0,0,0,0,0,79.06311,15.68342,
2.688203,727.9498,79.58409,-47.16257,15.63002,4,0.999934,0.1483635,0,1,0,0,79.08161,15.79795,
2.808203,726.5664,79.60157,-48.1733,12.88513,4,0.9999139,0,0.8431647,1,0,0,79.10178,10,
2.928203,725.3566,79.62139,-49.30478,14.37461,4,0.9998885,1,0,1,0,0,79.12534,23.76226,
3.028203,724.376,79.64404,-50.45936,15.59148,4,0.9998647,1,0,1,0,0,79.15042,23.7602,
3.148203,723.2556,79.67937,-52.08564,17.01411,4,0.9998325,1,0,1,0,0,79.18795,23.75777,
3.268203,722.2194,79.7238,-53.96004,18.39853,4,0.9997956,1,0,1,0,0,79.23382,23.7554,
3.388203,721.276,79.77758,-56.06305,19.76003,4,0.9997523,1,0,1,0,0,79.28931,23.75307,
3.508203,720.4146,79.84119,-58.3725,21.08908,4,0.9997023,1,0,1,0,0,79.35413,23.75081,
3.628202,719.623,79.91542,-60.87077,22.36416,4,0.9996442,1,0,1,0,0,79.43037,23.74859,
3.748202,718.9431,80.00067,-63.53835,23.22465,4,0.9995775,0.4882919,0,1,0,0,79.51778,23.74643,
3.848203,718.4834,80.07903,-65.83204,23.4889,4,0.9995131,0.232721,0,1,0,0,79.59731,23.74468,
3.968203,718.0027,80.18128,-68.61629,23.60054,4,0.9994261,0.1221039,0,1,0,0,79.70039,23.74262,
4.088202,717.5656,80.2924,-71.41422,23.63151,4,0.9993305,0.08908844,0,1,0,0,79.8125,23.74063,
4.208202,717.1802,80.41227,-74.22083,23.62615,4,0.9992191,0.08810883,0,1,0,0,79.93353,23.7387,
4.328202,716.8989,80.54102,-77.03854,23.61106,4,0.9990947,0.09888306,0,1,0,0,80.06363,23.73682,
4.448202,716.7515,80.67886,-79.86475,23.60294,4,0.9989545,0.1049683,0,1,0,0,80.20339,23.73501,
4.568202,716.7393,80.82642,-82.69344,23.59995,4,0.9987845,0.1063538,0,1,0,0,80.35357,23.73326,
4.688202,716.854,80.98494,-85.51867,23.59754,4,0.9985863,0.1068268,0,1,0,0,80.51522,23.73158,
4.808202,717.0886,81.15559,-88.33047,23.35689,4,0.998354,0,0,1,0,0,80.68924,23.4945,Ground_CR110 main supported trail@15.6
4.928202,717.4275,81.33367,-91.02681,22.46309,4,0.9980854,1,0,1,0,0,80.87108,23.7284,
5.048202,717.8942,81.52927,-93.73872,23.23714,4,0.9977643,0.4497269,0,1,0,0,81.06976,23.72691,
5.168202,718.4896,81.74084,-96.4194,22.56014,4,0.9973054,0,0,1,0,0,81.28432,22.50798,
5.288202,719.1995,81.96415,-98.94215,21.64891,4,0.9967876,0.1218201,0,1,0,0,81.50748,21.80691,
5.408202,720.0456,82.20373,-101.3399,21.00018,4,0.9961171,0,0.2899823,1,0,0,81.75771,20.03429,
